date,rank,track_name,artist,streams,album_name,track_uri,weeks_on_chart,peak_rank,previous_rank,album_cover_url
2024-11-07,82,Guess featuring billie eilish,"Charli xcx, Billie Eilish",12340395,Brat and it’s completely different but also still brat,spotify:track:0IsIY8pfu1yaGkPUD7pkDx,14,5,56,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47
2024-11-07,83,I Love You So,The Walters,12088944,I Love You So,spotify:track:4SqWKzw0CbA05TGszDgMlc,130,21,88,https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f
2024-11-07,84,Not Like Us,Kendrick Lamar,12021949,Not Like Us,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,27,2,78,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad
2024-11-07,85,Love Me Again,V,11788134,Layover,spotify:track:2N0SPREDYqILVEFSsWF5N5,65,11,107,https://i.scdn.co/image/ab67616d0000b2732f1a5b69c2bd76474bca8035
2024-11-07,86,CHIHIRO,Billie Eilish,11776215,HIT ME HARD AND SOFT,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,25,5,103,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
2024-11-07,87,Slow It Down,Benson Boone,11755020,Fireworks & Rollerblades,spotify:track:51eSHglvG1RJXtL3qI5trr,33,27,87,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
2024-11-07,88,Jo Tum Mere Ho,Anuv Jain,11728205,Jo Tum Mere Ho,spotify:track:0eCajpR75pDW0r64U6hP2x,8,69,83,https://i.scdn.co/image/ab67616d0000b27372a77d038887cdc425f5ee55
2024-11-07,89,Austin (Boots Stop Workin'),Dasha,11609312,What Happens Now?,spotify:track:2uqYupMHANxnwgeiXTZXzd,35,20,86,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb
2024-11-07,90,When I Was Your Man,Bruno Mars,11588887,Unorthodox Jukebox,spotify:track:0B7wvvmu9EISAwZnOpjhNI,106,38,94,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
2024-11-07,91,Die For You,The Weeknd,11582397,Starboy,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,143,12,98,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
2024-11-07,92,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,11507205,No Strings Attached,spotify:track:62bOmKYxYg7dhrC6gH9vFn,15,10,92,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
2024-11-07,93,Pink + White,Frank Ocean,11424109,Blonde,spotify:track:3xKsf9qdS1CyvXSMEid6g8,77,67,114,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
2024-11-07,94,Y LLORO,Junior H,11414492,$AD BOYZ 4 LIFE II,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,35,55,93,https://i.scdn.co/image/ab67616d0000b273f3ba6742a35f111aaea1ca2f
2024-11-07,95,NEW DROP,Don Toliver,11400347,HARDSTONE PSYCHO,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,6,95,110,https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5
2024-11-07,96,Soltera,Shakira,11350504,Soltera,spotify:track:3OJDtCdYs8QJnui708tEU3,6,40,77,https://i.scdn.co/image/ab67616d0000b273ba1b09e33e17904446bbd60e
